Rick Ross Featuring Chris Brown,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
Miguel Featuring Travis Scott,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
Freddy Todd,['glitch hop']
Ben Rector,"['acoustic pop', 'indiecoustica', 'lds youth', 'neo mellow', 'piano rock', 'pop rock']"
Josh Thompson,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
Phil Woods,"['bebop', 'big band', 'contemporary post-bop', 'hard bop', 'jazz', 'jazz saxophone']"
Milky Chance,['german pop']
gnash Featuring Olivia O'Brien,"['electropop', 'pop', 'pop rap']"
Bryson Tiller,"['kentucky hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap']"
General Larry Platt,[]
Trevor Jackson,['uk experimental electronic']
Ariana Grande & Nathan Sykes,"['dance pop', 'pop']"
DJ Khaled Featuring SZA,"['dance pop', 'dirty south rap', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Kacey Musgraves,"['contemporary country', 'country dawn', 'pop', 'texas country']"
Kent Jones,"['miami hip hop', 'viral trap']"
Lord Of Bass,['greek house']
Ansome,"['minimal dub', 'modular techno']"
Yo Gotti Featuring E-40,"['dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
eli filosov [ p h i l o ],['lo-fi beats']
Powerwolf,"['german metal', 'german power metal', 'melodic metal', 'metal', 'power metal']"
The Monotone Droner,['asmr']
Chase Bryant,"['contemporary country', 'country pop', 'country road', 'modern country rock']"
Leon Vynehall,"['ambient house', 'deep house', 'electronica', 'float house', 'future garage', 'microhouse', 'uk bass', 'uk house']"
Wun Two,"['chillhop', 'lo-fi beats']"
Akon,['dance pop']
リアムMAZE1981,[]
Drake Featuring 2 Chainz & Big Sean,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Joyner Lucas,"['boston hip hop', 'hip hop', 'pop rap', 'rap']"
Pitbull Featuring Chris Brown,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']"
Drake Featuring 2 Chainz & Young Thug,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Blac Youngsta,"['memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Katy Perry Featuring Juicy J,"['dance pop', 'pop', 'post-teen pop']"
Capstan,"['alternative emo', 'anthem emo', 'easycore', 'pop punk']"
T-Pain Featuring Wiz Khalifa & Lily Allen,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
Daft Punk Featuring Pharrell Williams,"['electro', 'filter house']"
Iggy Azalea,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop']"
Arvo Pärt,"['baltic classical', 'classical', 'contemporary classical', 'minimalism']"
Eïs,"['blackgaze', 'german black metal']"
Love & Light,['glitch hop']
Disturbed,"['alternative metal', 'nu metal', 'rap metal']"
Wiz Khalifa Featuring The Weeknd,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
The Avalanches,"['alternative dance', 'australian alternative rock', 'australian dance', 'collage pop', 'electronica', 'indie rock', 'indietronica', 'new rave', 'psychedelic hip hop']"
Sophia Grace,['social media pop']
Selena Gomez X Marshmello,"['dance pop', 'pop', 'post-teen pop']"
Lee Morgan,"['bebop', 'big band', 'free jazz', 'hard bop', 'jazz', 'jazz trumpet', 'soul jazz']"
BTS,"['k-pop', 'k-pop boy group']"
TeeFLii Featuring 2 Chainz,"['pop r&b', 'west coast trap']"
Eurielle,[]
Pandrezz,"['chillhop', 'lo-fi beats']"
